"cellName" "embryoStage" "embryo" "cellCategory" "cluster" "fsc" "ssc"
"SLX.8345.N704_N508" "NP" "ID2_10" "NP-CD41+Flk1-" "brown" 35849 15726
"SLX.8345.N705_N501" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 45966 18225
"SLX.8345.N705_N502" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 35082 12792
"SLX.8345.N705_N503" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 45584 12391
"SLX.8345.N705_N504" "NP" "ID2_8" "NP-CD41+Flk1-" "brown" 43889 16754
"SLX.8345.N705_N506" "NP" "ID2_10" "NP-CD41+Flk1-" "brown" 39491 12878
"SLX.8345.N705_N507" "NP" "ID2_10" "NP-CD41+Flk1-" "brown" 37494 14006
"SLX.8345.N705_N508" "NP" "ID2_10" "NP-CD41+Flk1-" "brown" 34705 12835
"SLX.8345.N706_N501" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 28527 11613
"SLX.8345.N706_N502" "NP" "ID2_8" "NP-CD41+Flk1-" "brown" 33274 12986
"SLX.8345.N706_N503" "HF" "ID2_7" "HF-CD41+Flk1-" "brown" 30896 20044
"SLX.8345.N706_N504" "NP" "ID2_8" "NP-CD41+Flk1-" "brown" 40875 14925
"SLX.8345.N706_N506" "NP" "ID2_9" "NP-CD41+Flk1-" "brown" 38586 16374
"SLX.8345.N706_N507" "NP" "ID2_10" "NP-CD41+Flk1-" "green" 39979 22780
"SLX.8345.N706_N508" "NP" "ID2_10" "NP-CD41+Flk1-" "brown" 39334 12978
"SLX.8345.N707_N501" "HF" "ID2_7" "HF-CD41+Flk1+" "red" 44932 27796
"SLX.8345.N707_N502" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 33499 14277
"SLX.8345.N707_N503" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 33953 18604
"SLX.8345.N707_N504" "NP" "ID2_8" "NP-CD41+Flk1+" "red" 17682 14724
"SLX.8345.N707_N506" "NP" "ID2_9" "NP-CD41+Flk1+" "yellow" 40533 21310
"SLX.8345.N707_N507" "NP" "ID2_10" "NP-CD41+Flk1+" "brown" 41304 15842
"SLX.8345.N707_N508" "NP" "ID2_10" "NP-CD41+Flk1+" "brown" 31169 17120
"SLX.8345.N708_N501" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 38652 10911
"SLX.8345.N708_N502" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 28057 14668
"SLX.8345.N708_N503" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 17592 13654
"SLX.8345.N708_N504" "NP" "ID2_8" "NP-CD41+Flk1+" "brown" 30541 18687
"SLX.8345.N708_N506" "NP" "ID2_10" "NP-CD41+Flk1+" "yellow" 32402 19344
"SLX.8345.N708_N507" "NP" "ID2_10" "NP-CD41+Flk1+" "brown" 32167 17112
"SLX.8345.N708_N508" "NP" "ID2_10" "NP-CD41+Flk1+" "brown" 36471 15710
"SLX.8345.N709_N501" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 23260 11996
"SLX.8345.N709_N502" "NP" "ID2_8" "NP-CD41+Flk1+" "brown" 49776 14438
"SLX.8345.N709_N503" "HF" "ID2_7" "HF-CD41+Flk1+" "red" 29346 16985
"SLX.8345.N709_N504" "NP" "ID2_8" "NP-CD41+Flk1+" "yellow" 24732 21382
"SLX.8345.N709_N506" "NP" "ID2_9" "NP-CD41+Flk1+" "yellow" 24564 22253
"SLX.8345.N709_N507" "NP" "ID2_10" "NP-CD41+Flk1+" "red" 38734 17555
"SLX.8345.N709_N508" "NP" "ID2_10" "NP-CD41+Flk1+" "brown" 29605 16464
"SLX.8345.N710_N501" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 38350 25669
"SLX.8345.N710_N502" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 23246 16185
"SLX.8345.N710_N503" "HF" "ID2_7" "HF-CD41+Flk1+" "brown" 44707 15707
"SLX.8345.N710_N504" "NP" "ID2_9" "NP-CD41+Flk1+" "brown" 37189 22728
"SLX.8345.N710_N505" "NP" "ID2_8" "NP-CD41+Flk1+" "yellow" 33364 16996
"SLX.8345.N710_N506" "NP" "ID2_9" "NP-CD41+Flk1+" "red" 30627 20083
"SLX.8345.N710_N507" "NP" "" "NP-CD41+Flk1+" "brown" NA NA
